PostalCode,BurglaryRate,Neighborhood
3141,0.71942446,South Yarra
3006,0.617283951,Southbank
3015,0.609756098,Spotswood
3172,0.833333333,Springvale South
3171,1.219512195,Springvale
3041,0.877192982,Strathmore Heights
3041,0.877192982,Strathmore
3429,0.980392157,Sunbury
3020,1.5625,Sunshine North
3020,1.5625,Sunshine West
3020,1.5625,Sunshine
3127,0.578034682,Surrey Hills
3037,0.909090909,Sydenham
3029,0.763358779,Tarneit
3037,0.909090909,Taylors Hill
3038,0.952380952,Taylors Lakes
3160,0.625,Tecoma
3107,0.970873786,Templestowe Lower
3106,1.408450704,Templestowe
3154,0.806451613,The Basin
3074,0.689655172,Thomastown
3071,1.123595506,Thornbury
3142,1.369863014,Toorak
3941,1.25,Tootgarook
3012,1.123595506,Tottenham
3032,0.757575758,Travancore
3029,0.763358779,Truganina
3043,1.01010101,Tullamarine
3913,0.284090909,Tyabb
3156,0.909090909,Upper Ferntree Gully
3158,0.408163265,Upwey
3133,0.769230769,Vermont South
3133,0.769230769,Vermont
3084,0.961538462,Viewbank
3152,0.934579439,Wantirna South
3152,0.934579439,Wantirna
3113,0.826446281,Warrandyte
3134,0.699300699,Warranwood
3195,0.735294118,Waterways
3087,1.098901099,Watsonia North
3087,1.098901099,Watsonia
3096,0.46728972,Wattle Glen
3030,0.952380952,Werribee South
3030,0.952380952,Werribee
3012,1.123595506,West Footscray
3003,1.052631579,West Melbourne
3049,0.653594771,Westmeadows
3150,0.675675676,Wheelers Hill
3016,0.358422939,Williamstown North
3016,0.358422939,Williamstown
3181,1.063829787,Windsor
3750,1.176470588,Wollert
3024,1.25,Wyndham Vale
3085,0.970873786,Yallambie
3013,0.735294118,Yarraville
